{ 1001,  70.94,   -8.67,    9, 3, 2, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{ 1004,  78.92,   11.93,    8, 0, 1, 0, 0, 0, 4, 5, 6, 7, 8, 9, 0, 0, 0}
{ 1028,  74.50,   19.00,   20, 3, 3, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{ 1152,  67.29,   14.45,   31, 3, 3, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{ 1241,  63.71,    9.61,   10, 3, 3, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{ 1400,  56.55,    3.21,   52, 3, 3, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{ 1415,  58.87,    5.67,   37, 3, 3, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{ 2185,  65.54,   22.11,   34, 3, 3, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{ 2365,  62.53,   17.44,    4, 3, 3, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{ 2527,  57.66,   12.29,  164, 3, 3, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{ 2591,  57.65,   18.35,   47, 3, 3, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{ 2836,  67.37,   26.63,  179, 3, 3, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{ 2963,  60.82,   23.50,  103, 3, 3, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{ 3005,  60.14,   -1.18,   82, 3, 2, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{ 3238,  55.02,   -1.88,  142, 3, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{ 3354,  53.01,   -1.25,  117, 3, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{ 3743,  51.20,   -1.81,  132, 3, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{ 3808,  50.22,   -5.33,   87, 3, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{ 3882,  50.90,    0.32,   52, 3, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{ 3918,  54.50,   -6.33,   18, 3, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{ 3953,  51.94,  -10.24,   25, 3, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{ 4320,  76.77,  -18.67,   12, 3, 0, 1, 2, 3, 0, 0, 0, 0, 0, 0,10,11,12}
{ 6011,  62.02,   -6.76,   56, 3, 2, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{ 6260,  52.10,    5.18,    4, 3, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{ 6610,  46.81,    6.94,  490, 6, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{ 7110,  48.44,   -4.41,   95, 3, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{ 7145,  48.77,    2.01,  174, 6, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{ 7510,  44.83,   -0.69,   54, 3,11, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{ 7645,  43.86,    4.41,   62, 6,11, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{ 7761,  41.92,    8.79,    9, 6,11, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{ 8001,  43.37,   -8.42,   67, 3,11, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{ 8023,  43.49,   -3.80,   59, 3,11, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{ 8160,  41.66,   -1.01,  258, 3,11, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{ 8190,  41.38,    2.12,   91, 6,11, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{ 8221,  40.47,   -3.58,  633, 3,11, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{ 8302,  39.61,    2.71,   41,11,11, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{ 8430,  38.00,   -1.17,   62,11,11, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{ 8495,  36.15,   -5.35,    4,11,11, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{ 8579,  38.77,   -9.13,  105,11,11, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{10035,  54.53,    9.55,   48, 3, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{10113,  53.71,    7.15,   16, 3, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{10184,  54.10,   13.41,    6, 3, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{10238,  52.82,    9.93,   78, 3, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{10393,  52.22,   14.12,  115, 3, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{10410,  51.41,    6.97,  153, 3, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{10548,  50.56,   10.38,  453, 3, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
{10618,  49.70,    7.33,  377, 6, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12}
