132	11,4	20,8
172	12,6	20,4
213	13,4	19,5
253	14,6	18,1
294	15,7	23,5
334	16,6	25,3
375	17,4	27,1
415	17,8	26,6
456	18,4	27,1
497	18,8	28,9
537	19,1	29,4
578	19,4	31,6
618	19,1	33,9
659	19,1	35,2
699	18,9	37,5
740	18,4	40,6
780	17,9	42,9
821	17,6	46,5
861	17	49,6
902	16,4	55,5
942	14,8	61,3
983	12,8	64
1024	11,6	65,4
1064	10,2	69
1105	9,9	70,3
1145	10,2	73
1186	10,1	69,9
1226	10,3	69
1267	10,6	67,6
1307	10,4	67,1
1348	10,3	66,3
1388	10,7	66,7
1429	10,6	64,5
1469	10,6	66,3
1510	10,8	66,3
1550	10,9	64,9
1591	11,1	63,1
1632	11,2	64
1672	11,2	64
1713	10,9	64
1753	11,1	64,9
1794	11,5	66,3
1834	11,4	64
1875	11,2	64
1915	11,1	64,5
1956	11,3	63,6
1996	11,3	63,1
2037	11,3	64,9
2077	11	64
2118	10,9	64,9
2159	10,3	63,6
2199	10,2	64,9
2240	10,4	66,7
2280	10,3	67,1
2321	9,6	64,9
2361	9,5	64
2402	9,4	64
2442	9,6	52,8
2483	9,3	53,2
2523	9,1	54,6
2564	9,1	54,1
2604	9,4	55,9
2645	9,4	56,4
2685	9,6	55,5
2726	9,9	55
2767	10,3	57,3
2807	10,6	55,9
2848	10,8	53,2
2888	10,9	51,9
2929	11,1	51,4
2969	11,6	51,9
3010	12,1	47,8
3050	12,2	46,4
3091	11,9	46,9
3131	12,9	48,7
3172	12,8	46,9
3212	13,6	38,8
3253	13,6	35,2
3294	13,5	34,8
3334	14,6	27,6
3375	14,6	28
3415	14,8	29,4
3456	15,4	30,3
3496	14,5	26,7
3537	15,3	27,1
3577	14,5	27,1
3618	16,4	28,9
3699	16,3	30,3
3739	16,3	30,7
3780	16,3	28,9
3820	15,9	27,6
3861	16,8	25,8
3902	16,8	27,6
3942	15,7	27,6
3983	14,2	25,8
7900	20	245
