MZ.delV:
1.12933	0.91734	1.02333	0.532523	1.42486	5.13078	999	
0.37732	-0.0314386	0.172941	-0.453118	0.80089	0.33599	999	
0.369111	-0.0498468	0.159632	-0.455967	0.77711	0.316415	999	
0.357211	-0.064189	0.146511	-0.485914	0.78056	0.326859	999	
0.351096	-0.0940571	0.12852	-0.53921	0.78458	0.334392	999	
0.336509	-0.0992039	0.118653	-0.521143	0.7608	0.316566	999	
0.323346	-0.117153	0.103096	-0.558003	0.7663	0.332638	999	
0.316311	-0.150907	0.0827021	-0.617753	0.77052	0.355021	999	
0.302816	-0.154419	0.0741983	-0.596741	0.74732	0.354461	999	
0.285277	-0.200056	0.0426106	-0.685389	0.75704	0.384507	999	
0.272173	-0.202178	0.0349974	-0.660535	0.73326	0.356942	999	
0.261106	-0.213718	0.023694	-0.688947	0.73876	0.350589	999	
0.259507	-0.238796	0.0103555	-0.736676	0.74298	0.326826	999	
0.247354	-0.239563	0.00389562	-0.709504	0.71978	0.316211	999	
0.237961	-0.246219	-0.00412899	-0.730398	0.7247	0.301229	999	
0.24233	-0.259884	-0.00877702	-0.762098	0.7295	0.272078	999	
0.230367	-0.259666	-0.0146494	-0.731997	0.70572	0.239488	999	
0.222122	-0.263866	-0.020872	-0.750299	0.71122	0.220112	999	
0.226042	-0.279515	-0.0267368	-0.784611	0.71544	0.201307	999	
0.214583	-0.278247	-0.031832	-0.752173	0.69166	0.189656	999	
0.206351	-0.28168	-0.0376646	-0.769711	0.69716	0.185329	999	
0.206057	-0.306013	-0.0499779	-0.81857	0.70208	0.187072	999	
0.195498	-0.303522	-0.0540118	-0.78406	0.67888	0.181586	999	
0.189226	-0.301258	-0.0560158	-0.791742	0.6831	0.161218	999	
0.177251	-0.35196	-0.0873543	-0.881693	0.6887	0.139444	999	
0.165195	-0.34964	-0.0922227	-0.844146	0.66275	0.143534	999	
0.156584	-0.349461	-0.0964385	-0.855506	0.66575	0.120488	999	
0.147053	-0.349669	-0.101308	-0.868243	0.668825	0.0938569	999	
0.112537	-0.437537	-0.1625	-0.964998	0.642825	0.0870296	999	
0.100706	-0.440861	-0.170077	-0.981847	0.645175	0.0645743	999	
0.0892169	-0.443019	-0.176901	-0.999719	0.6489	0.0398292	999	
0.0428586	-0.558469	-0.257805	-1.13399	0.62225	0.0268432	999	
