MZ.delV:
-0.0639895	0.325072	0.130541	-0.443842	0.5742	0.309496	999	
-0.047021	0.336993	0.144986	-0.447217	0.59029	0.266081	999	
-0.0786221	0.312701	0.11704	-0.454494	0.56651	0.24808	999	
-0.0651295	0.314599	0.124735	-0.444858	0.56931	0.242046	999	
-0.0813878	0.306366	0.112489	-0.469142	0.57218	0.231746	999	
-0.10448	0.30506	0.10029	-0.531138	0.5744	0.219473	999	
-0.13585	0.283401	0.0737753	-0.537435	0.5512	0.207276	999	
-0.123533	0.282461	0.079464	-0.529526	0.55407	0.20685	999	
-0.14259	0.273246	0.0653278	-0.55798	0.55687	0.212133	999	
-0.212866	0.245524	0.016329	-0.651583	0.53654	0.205047	999	
-0.206326	0.236928	0.0153012	-0.650077	0.53941	0.193134	999	
-0.236185	0.218858	-0.00866383	-0.691229	0.54221	0.192348	999	
-0.283081	0.205613	-0.0387342	-0.79532	0.54508	0.177378	999	
-0.312445	0.192417	-0.0600142	-0.795208	0.52188	0.167033	999	
-0.308202	0.179218	-0.0644923	-0.795622	0.5259	0.173089	999	
-0.341773	0.163248	-0.0892628	-0.847388	0.5314	0.176961	999	
-0.387891	0.145137	-0.121377	-0.94721	0.53562	0.171814	999	
-0.415722	0.136203	-0.13976	-0.941705	0.51242	0.155182	999	
-0.414257	0.117706	-0.148276	-0.946878	0.51734	0.163413	999	
-0.448098	0.104311	-0.171894	-0.999826	0.52156	0.170907	999	
-0.487591	0.0899037	-0.198843	-1.09583	0.52706	0.185174	999	
-0.514326	0.0865067	-0.21391	-1.08478	0.50328	0.199788	999	
-0.505981	0.0726192	-0.216681	-1.08383	0.50808	0.205108	999	
-0.535861	0.0661157	-0.234872	-1.13784	0.513	0.204228	999	
-0.563342	0.0574697	-0.252936	-1.21817	0.5178	0.197271	999	
-0.592207	0.0570355	-0.267586	-1.20608	0.49185	0.201279	999	
-0.579848	0.0441297	-0.267859	-1.20383	0.49455	0.194204	999	
-0.61525	0.0386852	-0.288282	-1.26829	0.4959	0.187166	999	
-0.643337	0.025033	-0.309152	-1.35148	0.4986	0.174664	999	
-0.674495	0.028519	-0.322988	-1.33803	0.47195	0.171132	999	
-0.656048	0.0180648	-0.318992	-1.33114	0.47465	0.156864	999	
-0.689822	0.0201322	-0.334845	-1.39978	0.476	0.127483	999	
-0.702545	0.0117264	-0.34541	-1.46201	0.47815	0.090654	999	
-0.73816	0.0192409	-0.35946	-1.45159	0.45215	0.0718007	999	
-0.71137	0.0121934	-0.349589	-1.43382	0.4545	0.0351939	999	
-0.753322	0.0130639	-0.370129	-1.52089	0.456425	-0.0119538	999	
-0.760093	0.00288683	-0.378603	-1.57327	0.456725	-0.0597212	999	
-0.805597	0.00587654	-0.39986	-1.56581	0.428725	-0.0895089	999	
-0.775835	-0.0028407	-0.389338	-1.54883	0.42975	-0.145544	999	
-0.821486	0.00266978	-0.409408	-1.64564	0.43075	-0.188245	999	
-0.814902	-0.00404718	-0.409475	-1.68439	0.431775	-0.2307	999	
-0.869262	-0.0020374	-0.43565	-1.67943	0.403775	-0.247848	999	
-0.83599	-0.0126775	-0.424334	-1.65785	0.404075	-0.265506	999	
-0.896338	-0.0136184	-0.454978	-1.78061	0.4058	-0.280104	999	
-0.878859	-0.0231603	-0.45101	-1.79951	0.4061	-0.307039	999	
-0.93925	-0.0163794	-0.477815	-1.79551	0.3781	-0.314331	999	
-0.897668	-0.0248063	-0.461237	-1.77053	0.38025	-0.329177	999	
-0.964452	-0.0287587	-0.496605	-1.90192	0.3864	-0.345296	999	
-0.928568	-0.0336525	-0.48111	-1.89898	0.3924	-0.351156	999	
-1.00855	-0.0557891	-0.532169	-1.88719	0.3636	-0.334899	999	
